balance,block_time,dao_address,uni_vote_count,voter_address
,,0x408ed6354d4973f66138c91495f2f2fcbd8724c3,1,0x08db300635e86e5a8d4e3a340e743027eba5c020
0,2022-08-04 02:11:17.000 UTC,0x408ed6354d4973f66138c91495f2f2fcbd8724c3,2,0x094dc639f0c47b6eca92936e142ecea207b963e4
0.990419805,2022-12-25 15:29:11.000 UTC,0x408ed6354d4973f66138c91495f2f2fcbd8724c3,2,0x09917c79b4c98c736f31b162cd6ad31bbb695e46
1.098544931,2022-11-29 09:05:11.000 UTC,0x408ed6354d4973f66138c91495f2f2fcbd8724c3,4,0x09b9669d4f467259dbbda29b5b6ef96fd0aba520
0.003,2021-03-09 13:50:26.000 UTC,0x408ed6354d4973f66138c91495f2f2fcbd8724c3,1,0x09fe35b511cbe25a9c262742942a267c44233457
1.036417806,2022-11-29 07:46:47.000 UTC,0x408ed6354d4973f66138c91495f2f2fcbd8724c3,3,0x0a46c592f54d049293e2d4a69acea7d23ca8a8be
,,0x408ed6354d4973f66138c91495f2f2fcbd8724c3,1,0x0a5ceb9c97d56403a52d9bf8663d755050be8a37
,,0x408ed6354d4973f66138c91495f2f2fcbd8724c3,1,0x0a7b3839b673af05b285f2c8231dd101ab9369a7
11.20948967,2024-12-07 08:06:59.000 UTC,0x408ed6354d4973f66138c91495f2f2fcbd8724c3,3,0x0ae6c833121d9757ddfa3586b49981b51f73f996
46.75,2022-05-01 15:55:00.000 UTC,0x408ed6354d4973f66138c91495f2f2fcbd8724c3,1,0x0c1ca3cd809c01832f05da34154182cf257f143f
,,0x408ed6354d4973f66138c91495f2f2fcbd8724c3,1,0x0c32683542f4bfd31d9e9678f52c2dd103e21a99
1,2022-05-29 16:14:48.000 UTC,0x408ed6354d4973f66138c91495f2f2fcbd8724c3,4,0x0c33ca2f4cd0d1caa09a452392d3dfa816378658
3,2022-11-30 16:37:23.000 UTC,0x408ed6354d4973f66138c91495f2f2fcbd8724c3,2,0x0c51678379870245112036be69b2dabec209cc03
1,2022-12-01 13:37:11.000 UTC,0x408ed6354d4973f66138c91495f2f2fcbd8724c3,1,0x0d67bd7894777bec07a61ab0ac0ce34b80b8ece8
,,0x408ed6354d4973f66138c91495f2f2fcbd8724c3,1,0x0d8d4a0739ea1f5d9e7c8744a7597b8eb51209d4
0.23,2022-10-25 05:40:35.000 UTC,0x408ed6354d4973f66138c91495f2f2fcbd8724c3,1,0x0dc0f0f9814111c06ac088aa27c2be6863c30d01
0.585751247,2022-10-23 14:12:23.000 UTC,0x408ed6354d4973f66138c91495f2f2fcbd8724c3,1,0x0e5e15ee7a8a8c9321717d8f5ba623245cd583a9
