voter_address,address_type
0xa4007e5deed110fac652323e607c5b8f7f88e5f6,EOA
0x87ea8190f9842a9162badba7ce31f5519ed2af86,EOA
0xed4768cc36628bf3221407ed5eb33796f8172622,EOA
0x69172956a8af5d61d47bef87a392e0585f120b8d,EOA
0xdf6ca7b1c5629a3bc2df6cf5957a02b9aa9710f1,EOA
0x5e1610784f0b8c1cd1df8170ec28a59e94cb5c0d,EOA
0x8d6abbf6b2d88b550096d77e9b2b5566e8468844,EOA
0x22051b7cc792f1135e44f4e9b20f7a32035e4999,EOA
0x13bdae8c5f0fc40231f0e6a4ad70196f59138548,EOA
0x80575a11fdc14f3f655b42edded1ee17a7417058,EOA
0x8b100a07903a36587df5b333cf65120e82c9eeb5,EOA
0x7eb885b31130543f7a8e1fcffc4d03159838e598,EOA
0x3a409eff50a47aeef294e3f0bb3874490dd99abc,EOA
0x54a37d93e57c5da659f508069cf65a381b61e189,EOA
0x419c53b38031bd64d196614040780f1591d63117,EOA
0x77a80028a50a7504604646ee51586a721f52f07c,EOA
0x4f49c34759b7e888ce77de9dd34fec63d63495cc,EOA
0x63c0e5fdf7bbe5d215bdab08d7af7dcb8ae10886,EOA
0x3c33dd623d861f11ca25cdabbb45d3d4915b0228,EOA
0x6f5d2dd89f99f44b205a3de3584d76fda68dc894,EOA
0x0891e98f45e44de82f2277a8a2b4d5a0a0495de2,EOA
0x6feaf074d4e6e00c8bb476153f81bfcc493ee14d,EOA
0x122476221a4cf579b5bd93d10f176d6c3c939685,EOA
0xea6c3db2e7fca00ea9d7211a03e83f568fc13bf7,EOA
0x50d2dec635c48f5e8cede341df87c651c6cd5318,EOA
0x9562ef91f565b1d4baa96476a6fcf8e49f3495a0,EOA
0x7b3c54e17d618cc94dadfe7671c1e2f50c4ecc33,Contract
0x88bd639d6b029596b029c61490f29f57b0bf4a3f,EOA
0x19bac40e3747992a3d22539976e0aa7cc2de93fd,EOA
0xded11a75f5ffe8cb01c1b5ae9fbe5a5b2ff199b1,EOA
0x274af61a316678a84aabacc4a6cf6881e9413b3b,EOA
0x068db2a4655158bc61e6147c0015bd2c63b4cf08,EOA
0xd6fd898124d95fb46ac7d055fb1b0b5e0985dc72,EOA
0x41fb250fd5be7cc6e818bf7b54843735e8c64abb,EOA
0x329c54289ff5d6b7b7dae13592c6b1eda1543ed4,EOA
0xa0efd27acc781549d5b78e89e561aa0903932d56,EOA
0x03154b9e76b3e6eb27357ccfd638f9ac9085e8b3,EOA
0xfafbeb6a1859d06f0106423f24e7a79fb596d5b3,EOA
0x5b47ce248ea313841668a318afb9a5597d5efc23,EOA
0x2c0badc1679fb7666e4705ef3c0084654bc81673,EOA
0xea2995766da4eacf5e77178faf26b207e9cdbd63,EOA
0x653c6403794315dc858640ea206664407c519ff2,EOA
0xcac72313edb970abb8b4389802bf17a4b0a35fe7,EOA
0xbdd28ed88764c8a0fc25fbe11630ff073f3ae851,EOA
0xd8c9f3d62232d541eb2ad26155e048995a8d6417,EOA
0xf0974e846bd6c20bed63c789c276e6921f34359a,EOA
0xc6442fe8b2653034207da502c4855191b81763a7,EOA
